,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Price,Company
40,Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,125000.0,Maruti
41,Tata Nano LX,Kochi,2014,19698,Petrol,Manual,First,153000.0,Tata
42,Mahindra KUV 100,Coimbatore,2017,22033,Diesel,Manual,First,558000.0,Mahindra
43,Hyundai i20 Magna,Kochi,2014,35487,Petrol,Manual,First,474000.0,Hyundai
44,Hyundai Elantra 2.0,Bangalore,2014,46374,Petrol,Automatic,First,885000.0,Hyundai
45,Toyota Corolla Altis,Mumbai,2016,52001,Petrol,Automatic,First,1011000.0,Toyota
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,425000.0,Hyundai
47,Toyota Innova Crysta,Bangalore,2012,70704,Petrol,Manual,First,1095000.0,Toyota
48,Hyundai Xcent 1.1,Jaipur,2014,75000,Diesel,Manual,First,385000.0,Hyundai
49,Mahindra Thar CRDe,Jaipur,2012,75800,Diesel,Manual,Second,550000.0,Mahindra
50,Audi A4 2.0,Kochi,2015,13648,Diesel,Automatic,First,2143000.0,Audi
51,Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,425000.0,Maruti
52,Maruti Swift Ldi,Kolkata,2014,53000,Diesel,Manual,First,330000.0,Maruti
53,Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,385000.0,Maruti
54,Hyundai Grand i10,Chennai,2015,54000,Petrol,Manual,Third,360000.0,Hyundai
55,Volkswagen Vento 2013-2015,Kolkata,2015,39000,Petrol,Manual,First,399000.0,Volkswagen
56,Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,330000.0,Renault
57,Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,206999.99999999997,Hyundai
58,Nissan X-Trail SLX,Hyderabad,2010,121812,Diesel,Automatic,First,775000.0,Nissan
59,Maruti Zen Estilo,Hyderabad,2010,39300,Petrol,Manual,First,225000.0,Maruti
60,Toyota Innova Crysta,Mumbai,2017,22000,Diesel,Manual,First,1650000.0,Toyota
61,Ford Figo Diesel,Bangalore,2010,72000,Diesel,Manual,First,275000.0,Ford
62,Mercedes-Benz New C-Class,Delhi,2015,58000,Petrol,Automatic,First,2670000.0,Mercedes-Benz
63,Mercedes-Benz New C-Class,Pune,2011,65000,Diesel,Manual,Second,1000000.0,Mercedes-Benz
64,Tata Indica V2,Chennai,2016,178000,Diesel,Manual,First,250000.0,Tata
65,Audi A4 2.0,Jaipur,2012,65664,Diesel,Automatic,First,1350000.0,Audi
66,Honda City ZX,Mumbai,2007,63000,Petrol,Automatic,Second,185000.0,Honda
67,Mercedes-Benz C-Class Progressive,Coimbatore,2019,15369,Diesel,Automatic,First,3567000.0,Mercedes-Benz
68,Maruti Ertiga SHVS,Pune,2016,63000,Diesel,Manual,First,815000.0,Maruti
69,Hyundai Creta 1.4,Mumbai,2018,13000,Diesel,Manual,First,1050000.0,Hyundai
70,Porsche Cayenne 2009-2014,Mumbai,2008,73000,Petrol,Automatic,First,1450000.0,Porsche
71,Mahindra XUV500 W8,Mumbai,2015,55729,Diesel,Manual,First,965000.0,Mahindra
72,Hyundai i10 Sportz,Kochi,2012,45178,Petrol,Automatic,First,348000.0,Hyundai
73,Nissan Terrano XV,Kochi,2015,56066,Diesel,Manual,First,692000.0,Nissan
74,Honda Brio VX,Coimbatore,2016,37300,Petrol,Automatic,Second,646000.0,Honda
75,Audi A6 2.0,Delhi,2014,56000,Diesel,Automatic,Second,2950000.0,Audi
76,Ford Fiesta 1.4,Jaipur,2008,111111,Diesel,Manual,First,200000.0,Ford
77,Toyota Innova 2.0,Chennai,2006,230000,Petrol,Manual,Third,450000.0,Toyota
78,Toyota Innova 2.5,Hyderabad,2012,104000,Diesel,Manual,First,1175000.0,Toyota
79,Hyundai Santro Xing,Hyderabad,2005,87591,Petrol,Manual,First,130000.0,Hyundai
80,Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,375000.0,Maruti
81,Tata Zest Revotron,Pune,2017,70000,Petrol,Manual,First,450000.0,Tata
82,Honda Amaze SX,Kochi,2016,54944,Petrol,Manual,First,482000.0,Honda
83,Ford Figo Diesel,Hyderabad,2012,70337,Diesel,Manual,First,280000.0,Ford
84,Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,311000.0,Maruti
85,Honda City i,Delhi,2009,52000,Petrol,Manual,First,325000.0,Honda
86,BMW 5 Series,Delhi,2011,75000,Diesel,Automatic,Second,1390000.0,BMW
87,Hyundai i10 Sportz,Pune,2009,95980,Petrol,Manual,First,225000.0,Hyundai
88,Hyundai Grand i10,Bangalore,2016,16000,Petrol,Manual,First,575000.0,Hyundai
89,Hyundai Santro Xing,Hyderabad,2007,73745,Petrol,Manual,First,210000.0,Hyundai
90,Honda Amaze SX,Mumbai,2016,18949,Petrol,Manual,First,500000.0,Honda
91,Toyota Fortuner 4x2,Delhi,2014,107000,Diesel,Manual,First,1650000.0,Toyota
92,Audi A6 2011-2015,Coimbatore,2018,48367,Diesel,Automatic,First,3958000.0,Audi
93,Ford Ecosport 1.5,Delhi,2013,57000,Diesel,Manual,First,550000.0,Ford
94,Mahindra XUV500 W8,Delhi,2014,58000,Diesel,Manual,First,810000.0,Mahindra
95,Honda Amaze SX,Kolkata,2015,30000,Diesel,Manual,First,350000.0,Honda
96,Volkswagen Polo Diesel,Kolkata,2013,34212,Diesel,Manual,First,279000.0,Volkswagen
97,Hyundai Verna Transform,Ahmedabad,2010,70002,Diesel,Manual,First,345000.0,Hyundai
98,Maruti Wagon R,Bangalore,2016,62000,Petrol,Manual,First,445000.0,Maruti
99,Volkswagen Polo Petrol,Delhi,2010,62001,Petrol,Manual,First,265000.0,Volkswagen
100,Hyundai i20 1.4,Pune,2011,78958,Diesel,Manual,Second,380000.0,Hyundai
101,Hyundai i20 Asta,Mumbai,2014,30180,Petrol,Manual,First,465000.00000000006,Hyundai
102,Datsun GO Plus,Pune,2017,32851,Petrol,Manual,First,395000.0,Datsun
103,Audi A4 3.0,Kolkata,2010,30000,Diesel,Automatic,First,980000.0000000001,Audi
104,Hyundai i20 2015-2017,Pune,2009,66000,Petrol,Manual,Second,270000.0,Hyundai
105,Maruti Omni 5,Coimbatore,2010,93850,Petrol,Manual,First,241000.0,Maruti
106,Toyota Etios Liva,Ahmedabad,2014,53000,Petrol,Manual,First,390000.0,Toyota
107,Jaguar XF 3.0,Hyderabad,2011,78000,Diesel,Automatic,Second,2400000.0,Jaguar
108,Mahindra XUV500 W8,Delhi,2012,65000,Diesel,Manual,Second,575000.0,Mahindra
109,Hyundai Verna 1.6,Kolkata,2014,40000,Diesel,Automatic,First,525000.0,Hyundai
110,Toyota Innova Crysta,Mumbai,2017,30000,Diesel,Automatic,First,1925000.0,Toyota
111,Maruti Eeco 5,Coimbatore,2017,38053,Petrol,Manual,First,391000.0,Maruti
112,Tata Nano Twist,Bangalore,2014,25500,Petrol,Manual,First,215000.0,Tata
113,BMW 3 Series,Mumbai,2015,56087,Diesel,Automatic,First,2075000.0,BMW
114,Honda Civic 2006-2010,Delhi,2010,71088,Petrol,Manual,First,335000.0,Honda
115,Toyota Innova 2.5,Ahmedabad,2014,55000,Diesel,Manual,First,1111000.0,Toyota
116,Volvo V40 Cross,Bangalore,2014,32700,Diesel,Automatic,First,2000000.0,Volvo
117,Nissan Micra XV,Coimbatore,2016,39882,Petrol,Automatic,First,655000.0,Nissan
118,BMW 5 Series,Mumbai,2009,128000,Petrol,Automatic,First,700000.0,BMW
119,Maruti Vitara Brezza,Mumbai,2016,55000,Diesel,Manual,First,750000.0,Maruti
120,Hyundai Santro Xing,Mumbai,2005,102000,Petrol,Manual,Second,85000.0,Hyundai
121,Mercedes-Benz B Class,Pune,2014,53753,Diesel,Automatic,Second,1675000.0,Mercedes-Benz
122,Hyundai Verna CRDi,Kolkata,2018,10250,Diesel,Manual,First,1095000.0,Hyundai
123,Maruti Wagon R,Pune,2011,43874,Petrol,Manual,First,245000.00000000003,Maruti
124,Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,323000.0,Tata
125,Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,775000.0,Mahindra
126,Mercedes-Benz New C-Class,Kolkata,2009,28352,Petrol,Automatic,First,935000.0,Mercedes-Benz
127,Maruti Wagon R,Pune,2013,89900,CNG,Manual,First,325000.0,Maruti
128,Honda CR-V 2.4,Bangalore,2007,47700,Petrol,Manual,Second,525000.0,Honda
129,Volkswagen Vento 1.5,Pune,2015,55000,Diesel,Automatic,First,725000.0,Volkswagen
130,Maruti Ciaz VXi,Kochi,2017,44285,Petrol,Manual,First,747000.0,Maruti
131,Mahindra XUV500 AT,Jaipur,2016,54000,Diesel,Automatic,First,1325000.0,Mahindra
132,Maruti Ritz VXI,Coimbatore,2016,30232,Petrol,Manual,First,581000.0,Maruti
133,Maruti Alto K10,Hyderabad,2014,88500,Petrol,Manual,First,260000.0,Maruti
134,Mercedes-Benz SLC 43,Kolkata,2017,13372,Petrol,Automatic,First,5400000.0,Mercedes-Benz
135,Hyundai Verna VTVT,Kochi,2019,12645,Petrol,Automatic,First,1150000.0,Hyundai
136,Maruti Alto LXi,Chennai,2010,94385,Petrol,Manual,Second,160000.0,Maruti
137,BMW 1 Series,Coimbatore,2015,31821,Diesel,Automatic,First,1722000.0,BMW
138,Honda Jazz 1.2,Mumbai,2015,12000,Petrol,Automatic,First,600000.0,Honda
139,Honda Civic 2006-2010,Delhi,2012,88578,Petrol,Manual,First,395000.0,Honda
140,Mercedes-Benz New C-Class,Kochi,2014,44965,Diesel,Automatic,First,1795000.0,Mercedes-Benz
141,Honda Amaze SX,Kolkata,2014,45044,Diesel,Manual,First,370000.0,Honda
142,Maruti Swift VVT,Kochi,2016,34204,Petrol,Manual,First,543000.0,Maruti
143,Hyundai Santro Xing,Kochi,2008,80759,Petrol,Manual,Third,167000.0,Hyundai
144,Toyota Fortuner 3.0,Coimbatore,2012,91235,Diesel,Manual,First,1349000.0,Toyota
145,Chevrolet Beat LT,Pune,2014,38800,Petrol,Manual,First,285000.0,Chevrolet
146,Skoda Rapid 1.5,Chennai,2013,83000,Diesel,Manual,First,475000.0,Skoda
147,Maruti Ciaz 1.4,Kochi,2018,41283,Petrol,Manual,First,990000.0,Maruti
148,Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,3700000.0,Audi
149,BMW 3 Series,Mumbai,2014,48000,Diesel,Automatic,First,2650000.0,BMW
150,Audi A4 2.0,Coimbatore,2015,48214,Diesel,Automatic,First,2332000.0,Audi
151,Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,625000.0,Maruti
152,Mercedes-Benz S Class,Kolkata,2010,35277,Petrol,Automatic,First,3000000.0,Mercedes-Benz
153,Skoda Rapid 1.5,Coimbatore,2016,54620,Diesel,Automatic,First,986000.0,Skoda
154,Skoda Superb Elegance,Pune,2012,136997,Diesel,Automatic,First,850000.0,Skoda
155,Hyundai EON Magna,Kochi,2019,14322,Petrol,Manual,First,423000.00000000006,Hyundai
156,Volkswagen Polo Diesel,Jaipur,2012,65634,Diesel,Manual,First,350000.0,Volkswagen
157,Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,250000.0,Datsun
158,Honda Brio S,Kolkata,2013,33280,Petrol,Manual,First,239000.0,Honda
159,Mercedes-Benz B Class,Delhi,2013,29000,Petrol,Automatic,First,1125000.0,Mercedes-Benz
160,Honda City i,Kochi,2015,42831,Diesel,Manual,First,711000.0,Honda
161,Toyota Innova 2.5,Ahmedabad,2016,90000,Diesel,Manual,First,1090000.0,Toyota
162,Maruti Swift VXI,Ahmedabad,2017,24005,Petrol,Manual,First,620000.0,Maruti
163,Mahindra XUV500 W8,Mumbai,2012,32792,Diesel,Manual,First,790000.0,Mahindra
164,Ford Ecosport 1.5,Kochi,2014,147898,Diesel,Manual,First,442000.0,Ford
165,Toyota Fortuner 4x2,Mumbai,2012,131765,Diesel,Manual,First,1350000.0,Toyota
166,Volkswagen Vento 1.5,Chennai,2013,65000,Diesel,Automatic,First,625000.0,Volkswagen
167,Ford Figo Diesel,Jaipur,2010,66123,Diesel,Manual,Second,210000.0,Ford
168,BMW X5 xDrive,Mumbai,2015,41000,Diesel,Automatic,First,4500000.0,BMW
169,Mercedes-Benz New C-Class,Coimbatore,2017,23550,Diesel,Automatic,First,3365999.9999999995,Mercedes-Benz
170,Honda Brio V,Bangalore,2012,45000,Petrol,Manual,Second,365000.0,Honda
171,Hyundai i10 Magna,Delhi,2013,60000,Petrol,Manual,First,275000.0,Hyundai
172,Mercedes-Benz GLC 220,Bangalore,2016,44414,Diesel,Automatic,First,4250000.0,Mercedes-Benz
173,Hyundai Grand i10,Kolkata,2019,1000,Petrol,Manual,First,650000.0,Hyundai
174,Audi A6 2011-2015,Mumbai,2012,62500,Diesel,Automatic,Second,1900000.0,Audi
175,Volkswagen Vento Petrol,Mumbai,2013,21000,Petrol,Automatic,Second,445000.0,Volkswagen
176,Mini Countryman Cooper,Jaipur,2017,8525,Diesel,Automatic,Second,2300000.0,Mini
177,Hyundai i20 Asta,Bangalore,2014,29000,Diesel,Manual,First,835000.0,Hyundai
178,Audi A6 2011-2015,Mumbai,2014,40000,Diesel,Automatic,First,2295000.0,Audi
179,Chevrolet Beat Diesel,Jaipur,2012,88000,Diesel,Manual,First,150000.0,Chevrolet
180,Skoda Superb Elegance,Kochi,2012,53537,Petrol,Automatic,First,689000.0,Skoda
181,Ford Fiesta 1.4,Chennai,2006,216000,Diesel,Manual,Second,145000.0,Ford
182,BMW 5 Series,Hyderabad,2014,51000,Diesel,Automatic,First,3350000.0,BMW
183,Chevrolet Optra Magnum,Jaipur,2007,118500,Petrol,Manual,First,125000.0,Chevrolet
184,Volkswagen Polo Diesel,Hyderabad,2012,63000,Diesel,Manual,First,420000.0,Volkswagen
185,Renault Lodgy 110PS,Mumbai,2015,25000,Diesel,Manual,First,675000.0,Renault
186,Mercedes-Benz E-Class E250,Bangalore,2014,37382,Diesel,Automatic,First,3200000.0,Mercedes-Benz
187,Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,750000.0,Maruti
188,Hyundai Verna 1.6,Delhi,2012,62000,Diesel,Manual,First,459999.99999999994,Hyundai
189,Hyundai i10 Magna,Kochi,2017,52340,Petrol,Manual,First,404000.0,Hyundai
190,Mahindra Scorpio 1.99,Kochi,2016,56739,Diesel,Manual,First,1031000.0,Mahindra
191,Land Rover Range,Coimbatore,2018,36091,Diesel,Automatic,First,5576000.0,Land
192,Ford Figo Diesel,Chennai,2010,120000,Diesel,Manual,First,260000.0,Ford
193,Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,850000.0,Maruti
194,Honda City 1.5,Ahmedabad,2007,60006,Petrol,Manual,First,295000.0,Honda
195,Honda Amaze S,Kolkata,2014,52000,Diesel,Manual,First,350000.0,Honda
196,Hyundai i10 Magna,Jaipur,2015,43571,Petrol,Manual,First,355000.0,Hyundai
197,Honda Amaze S,Kolkata,2013,50000,Diesel,Manual,First,325000.0,Honda
198,Skoda Laura Ambiente,Hyderabad,2008,113000,Diesel,Manual,First,450000.0,Skoda
199,Renault Duster 85PS,Delhi,2014,90000,Diesel,Manual,First,535000.0,Renault
200,Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,Second,650000.0,Mahindra
201,Maruti Vitara Brezza,Mumbai,2016,20000,Diesel,Manual,First,900000.0,Maruti
202,Hyundai i20 Asta,Kochi,2016,61012,Petrol,Manual,First,600000.0,Hyundai
203,Skoda Fabia 1.4,Jaipur,2009,87459,Petrol,Manual,First,275000.0,Skoda
204,Tata Indigo eCS,Pune,2010,70500,Petrol,Manual,First,150000.0,Tata
205,Audi Q3 2012-2015,Delhi,2015,64103,Diesel,Automatic,First,1989999.9999999998,Audi
206,Skoda Octavia Elegance,Mumbai,2014,76000,Petrol,Automatic,First,1000000.0,Skoda
207,Toyota Etios Liva,Delhi,2014,104000,Diesel,Manual,First,300000.0,Toyota
208,Maruti Swift 1.3,Kolkata,2010,42001,Petrol,Manual,First,211000.0,Maruti
209,Mercedes-Benz B Class,Kochi,2014,37245,Petrol,Automatic,First,1196000.0,Mercedes-Benz
210,Honda Amaze S,Kolkata,2013,45000,Diesel,Manual,First,325000.0,Honda
211,Hyundai Verna 1.6,Jaipur,2012,117837,Diesel,Manual,Second,475000.0,Hyundai
212,Renault Duster 85PS,Mumbai,2014,30000,Diesel,Manual,First,595000.0,Renault
213,Hyundai Creta 1.6,Delhi,2015,27057,Petrol,Manual,Second,815000.0,Hyundai
214,Maruti Wagon R,Mumbai,2016,8500,Petrol,Automatic,First,422000.0,Maruti
215,Mercedes-Benz New C-Class,Kolkata,2010,30500,Petrol,Automatic,First,1050000.0,Mercedes-Benz
216,Audi A8 L,Delhi,2012,56000,Diesel,Automatic,First,4500000.0,Audi
217,Hyundai i10 Magna,Pune,2012,44000,Petrol,Manual,Second,290000.0,Hyundai
218,Skoda Rapid 1.6,Mumbai,2017,10500,Petrol,Automatic,First,890000.0,Skoda
219,Skoda Superb Style,Hyderabad,2017,26000,Petrol,Automatic,First,2600000.0,Skoda
220,Hyundai i20 Active,Coimbatore,2018,25166,Petrol,Manual,First,822000.0000000001,Hyundai
221,Honda Amaze VX,Kolkata,2014,64000,Diesel,Manual,Second,350000.0,Honda
222,Maruti Wagon R,Chennai,2004,61000,Petrol,Manual,Second,125000.0,Maruti
223,Mahindra Verito 1.5,Hyderabad,2013,107000,Diesel,Manual,First,370000.0,Mahindra
224,Mercedes-Benz New C-Class,Coimbatore,2018,29161,Diesel,Automatic,First,3940999.9999999995,Mercedes-Benz
225,Maruti Wagon R,Kolkata,2013,32000,Petrol,Manual,First,265000.0,Maruti
226,Nissan Terrano XV,Coimbatore,2015,46173,Diesel,Manual,Second,892000.0,Nissan
227,Maruti Swift VDI,Delhi,2013,47000,Diesel,Manual,First,409999.99999999994,Maruti
228,Mini Cooper Convertible,Kochi,2017,26327,Petrol,Automatic,First,3567000.0,Mini
229,Ford Figo Diesel,Bangalore,2015,70436,Diesel,Manual,First,360000.0,Ford
230,Tata Indica V2,Jaipur,2007,200000,Diesel,Manual,Second,85000.0,Tata
231,Chevrolet Beat LT,Kochi,2016,60813,Petrol,Manual,Second,332000.0,Chevrolet
232,Volkswagen Polo Diesel,Mumbai,2012,45000,Diesel,Manual,First,360000.0,Volkswagen
233,Maruti Swift ZDi,Hyderabad,2016,64000,Diesel,Manual,First,680000.0,Maruti
234,Ford Figo Diesel,Kolkata,2012,41284,Diesel,Manual,First,250000.0,Ford
235,Toyota Innova Crysta,Kochi,2019,14165,Diesel,Automatic,First,1964000.0,Toyota
236,Hyundai Santa Fe,Mumbai,2011,67000,Diesel,Automatic,Second,700000.0,Hyundai
237,Honda City i-VTEC,Kolkata,2011,32572,Petrol,Manual,First,387000.0,Honda
238,Hyundai i20 1.2,Kochi,2018,14960,Petrol,Manual,First,627000.0,Hyundai
239,Mercedes-Benz New C-Class,Kochi,2015,55980,Diesel,Automatic,First,1812000.0,Mercedes-Benz
240,Chevrolet Beat Diesel,Mumbai,2013,74000,Diesel,Manual,First,265000.0,Chevrolet
241,Hyundai i20 Sportz,Kochi,2015,56847,Diesel,Manual,First,720000.0,Hyundai
242,Toyota Innova 2.5,Coimbatore,2015,121374,Diesel,Manual,First,1430000.0,Toyota
243,Maruti Ertiga VDI,Chennai,2013,52000,Diesel,Manual,First,690000.0,Maruti
244,Toyota Innova 2.5,Mumbai,2014,118000,Diesel,Manual,First,1075000.0,Toyota
245,Hyundai Santro Xing,Mumbai,2007,72000,Petrol,Manual,Third,95000.0,Hyundai
246,Honda City i,Kochi,2016,33915,Petrol,Manual,First,809000.0,Honda
247,BMW X1 sDrive20d,Ahmedabad,2014,82002,Diesel,Automatic,First,1850000.0,BMW
248,Hyundai Grand i10,Mumbai,2017,33000,Diesel,Manual,First,475000.0,Hyundai
249,Maruti Ciaz 1.3,Chennai,2016,34000,Diesel,Manual,First,844999.9999999999,Maruti
250,Skoda Rapid Leisure,Kolkata,2012,55000,Diesel,Manual,First,350000.0,Skoda
251,Hyundai Accent CRDi,Kochi,2006,160538,Diesel,Manual,First,180000.0,Hyundai
252,Volkswagen Polo GT,Jaipur,2014,60000,Diesel,Manual,Second,370000.0,Volkswagen
253,Honda Jazz 1.2,Coimbatore,2017,49575,Petrol,Manual,First,717000.0,Honda
254,Hyundai i10 Era,Jaipur,2010,83000,Petrol,Manual,First,175000.0,Hyundai
255,Hyundai Tucson 2.0,Kochi,2018,51346,Diesel,Automatic,First,2199000.0,Hyundai
256,Toyota Innova Crysta,Pune,2017,43000,Diesel,Manual,First,1864999.9999999998,Toyota
257,Maruti Omni MPI,Jaipur,2011,35000,Petrol,Manual,Third,185000.0,Maruti
258,Maruti Swift VXI,Coimbatore,2017,27872,Petrol,Manual,Second,595000.0,Maruti
259,Hyundai Grand i10,Mumbai,2014,16514,Petrol,Manual,First,375000.0,Hyundai
260,Maruti Swift VDI,Pune,2012,120000,Diesel,Manual,First,375000.0,Maruti
261,Hyundai Verna CRDi,Hyderabad,2008,143275,Diesel,Manual,First,260000.0,Hyundai
262,Hyundai Santro Xing,Hyderabad,2006,99000,Petrol,Manual,First,175000.0,Hyundai
263,Hyundai i20 1.2,Mumbai,2010,52000,Petrol,Manual,First,280000.0,Hyundai
264,Mercedes-Benz GLE 350d,Coimbatore,2017,29819,Diesel,Automatic,First,6129000.0,Mercedes-Benz
265,Mercedes-Benz New C-Class,Bangalore,2014,57000,Diesel,Manual,Second,1800000.0,Mercedes-Benz
266,Maruti Ritz ZDi,Hyderabad,2014,88500,Diesel,Manual,First,434999.99999999994,Maruti
267,Hyundai Creta 1.6,Bangalore,2016,28000,Diesel,Manual,First,1375000.0,Hyundai
268,Maruti A-Star Vxi,Pune,2010,67000,Petrol,Manual,First,200000.0,Maruti
269,Renault Duster 110PS,Delhi,2016,26000,Diesel,Manual,First,1000000.0,Renault
270,Fiat Grande Punto,Delhi,2010,120000,Diesel,Manual,First,165000.0,Fiat
271,BMW X3 xDrive30d,Coimbatore,2017,51982,Diesel,Automatic,First,4577000.0,BMW
272,Hyundai i10 Sportz,Bangalore,2010,36000,Petrol,Manual,Second,325000.0,Hyundai
273,Toyota Innova 2.5,Pune,2016,47000,Diesel,Manual,First,1280000.0,Toyota
274,Maruti Zen VXI,Mumbai,2002,60000,Petrol,Manual,Third,55000.00000000001,Maruti
275,Maruti Swift VDI,Hyderabad,2018,31025,Diesel,Manual,First,715000.0,Maruti
276,Mahindra Scorpio VLX,Pune,2013,105000,Diesel,Manual,Second,700000.0,Mahindra
277,Tata Zest Quadrajet,Pune,2017,121900,Diesel,Manual,First,375000.0,Tata
278,Ford EcoSport 1.0,Mumbai,2017,22695,Petrol,Manual,First,850000.0,Ford
279,Maruti Swift Dzire,Jaipur,2012,73000,Diesel,Manual,First,434999.99999999994,Maruti
280,Maruti Alto 800,Kochi,2016,32227,Petrol,Manual,First,326000.0,Maruti
281,Honda City 1.5,Jaipur,2011,55000,Petrol,Manual,First,421000.0,Honda
282,Audi Q7 3.0,Kochi,2018,11287,Diesel,Automatic,First,7036000.0,Audi
283,Skoda Laura 1.9,Mumbai,2009,48000,Diesel,Automatic,Second,295000.0,Skoda
284,Hyundai Verna 1.6,Kochi,2012,54308,Petrol,Manual,First,428000.0,Hyundai
285,Honda City 1.5,Jaipur,2009,78442,Petrol,Automatic,First,357000.0,Honda
286,Hyundai i20 Magna,Kolkata,2013,46000,Diesel,Manual,First,311000.0,Hyundai
287,Hyundai i20 Sportz,Coimbatore,2014,45051,Petrol,Automatic,First,596000.0,Hyundai
288,Volkswagen Vento Diesel,Hyderabad,2011,69000,Diesel,Manual,First,470000.0,Volkswagen
